2609
31	9974	0
34	21515	2
92	29619	6
327	29579	2
357	23931	5
414	17938	5
523	27645	0
626	26118	3
707	19989	4
711	12294	5
758	1081	0
758	34806	9
896	946	5
896	38194	5
935	8351	0
969	9740	0
969	12501	3
978	37202	0
980	9581	2
980	34871	2
1278	25165	2
1281	14659	0
1330	35133	6
717	25535	6
717	32159	6
717	10121	6
1516	13957	6
1590	32653	2
738	19481	0
1635	13628	5
1688	8850	8
38196	31243	4
1752	13193	2
1756	28047	0
1934	36346	2
1987	23105	0
2006	37984	3
2062	23605	4
2202	10263	3
2215	27410	0
2352	23005	3
2352	8161	5
2200	30048	2
2422	15629	0
2422	21728	2
2519	4658	9
2519	27824	9
1485	35974	5
2670	23463	9
2729	28145	4
2743	30905	2
2250	10513	5
824	16895	0
2871	26297	8
3016	27561	2
3230	18712	1
38197	9161	4
3399	17773	0
38198	31035	0
1561	12238	4
27521	17346	0
520	31174	2
520	18862	2
520	14910	2
520	26293	2
520	15118	2
520	35153	2
3692	36411	3
3764	34814	6
3774	32287	6
3873	35362	3
3878	35449	2
3878	21663	2
3907	5036	2
3968	25487	0
4039	581	0
38199	28513	3
4168	4730	6
4181	907	5
3477	32210	3
4216	27879	2
2401	22179	0
4434	9336	0
4455	22072	2
4469	5212	6
4535	15676	9
38202	24379	0
4632	21570	6
4714	2955	0
4714	2273	2
31167	31291	0
4809	18823	0
4821	26155	3
35885	4212	1
5076	10579	9
5100	38163	2
5116	37595	2
5127	35484	0
5127	7392	6
5152	14361	0
5152	1112	3
5157	28004	6
5163	13033	0
5165	25772	3
5178	27663	1
1796	35108	0
14182	15207	0
727	27421	0
660	447	2
5432	7573	0
5453	16528	3
5576	27070	0
5735	9599	4
5736	38206	2
5794	37048	3
5947	29662	3
4049	3236	2
6036	31101	0
6041	2228	2
4410	31394	2
4410	25295	2
6153	28426	6
6184	27925	0
336	8731	6
26839	27802	3
4506	23518	3
6322	31067	3
6361	30235	0
6415	23706	0
6487	23304	0
5958	36810	2
6548	24081	4
6566	5679	3
36019	14727	3
6655	12878	2
217	17727	0
13724	21786	0
6868	32008	0
6868	37141	3
6907	26236	6
6930	14718	4
6975	6452	3
6975	18452	2
6975	26207	2
6979	6303	2
1328	10367	2
7092	18107	2
7092	18768	2
7092	15053	2
7114	1591	5
7114	29816	10
3827	14008	1
38207	30547	4
7293	14541	0
2779	27513	2
5135	17007	0
7385	30063	2
7432	13996	2
7457	2075	2
7461	32269	5
38200	5244	2
2889	19622	6
2889	33399	6
3362	28158	2
38208	10980	0
2431	27124	0
7675	9676	0
7700	2157	0
7705	13613	0
7708	37374	8
7817	30391	0
7902	31525	0
5992	28999	2
4463	21773	2
8235	31986	3
38210	1984	0
8311	30505	3
8444	6135	2
7172	27131	2
7172	22830	9
7172	14216	9
5495	16396	5
5495	16152	6
8682	26580	0
37625	33613	4
2853	29995	5
1375	12834	3
9012	33743	8
9069	1932	0
8140	26959	5
9153	2485	6
9165	13825	0
9165	2943	2
38212	10413	1
9343	34571	0
9400	16631	0
9571	28969	3
9593	29635	0
9671	21838	6
9707	20667	3
9733	5150	5
9781	1571	4
1923	775	5
9847	30683	1
9957	10133	0
9962	5155	0
9970	36684	0
8339	2526	2
10132	25774	6
10132	35802	6
10214	11515	3
10257	29506	1
10262	5587	0
