23733
11051	47184	1
15062	52937	6
49667	135	5
3649	135	5
30200	28712	6
60631	27178	6
18026	135	5
73669	135	5
16543	58325	6
53177	9	3
53008	4782	6
69663	2146	3
47469	49425	3
12901	135	5
27895	950	3
3172	19	5
18321	19	5
21790	4531	6
29802	7650	8
31774	26965	1
21336	5358	3
8282	63766	12
19244	17800	1
44793	32774	3
39169	135	5
29526	53669	3
38995	16833	3
8941	1557	6
7071	39934	3
64957	36165	6
27619	4750	3
67052	637	3
46199	135	5
3565	69889	12
46483	36362	3
66475	38676	3
70129	135	5
72878	135	5
65998	954	6
74434	135	5
8750	72140	12
16769	50063	6
61578	3551	3
28167	38993	6
15333	2053	3
30779	53606	8
69323	1085	6
32676	68761	0
35467	58100	8
39220	11473	3
63050	4464	1
23239	71107	1
63429	46745	3
17578	39808	3
14360	1936	6
13644	135	5
11697	866	8
30234	135	5
25099	135	5
48315	5422	1
25494	28985	6
44423	57976	8
45528	11437	3
15465	13270	12
56945	10236	8
50882	86	0
21764	4022	3
47437	64086	3
58500	135	5
41439	13063	1
10318	12894	8
30039	4847	6
29074	55397	0
38989	43204	8
64878	135	5
15951	135	5
13370	135	5
43612	12487	12
40547	45158	3
37348	135	5
30566	62712	6
17634	135	5
52761	13706	6
13869	50818	3
44192	135	5
65693	1394	3
45663	7103	8
4390	22193	8
42849	135	5
65974	135	5
2911	38005	3
22724	135	5
33581	32746	0
65231	72107	3
12855	1597	6
16033	40945	3
18600	16474	3
38696	29723	12
60154	1575	0
66241	91	6
16592	34751	6
58701	70606	8
74846	2872	6
48377	850	8
71145	31792	3
1041	135	5
51059	4245	6
34205	60416	3
38386	3210	3
65168	1597	6
45824	25653	8
36470	38746	12
16303	8439	0
43152	1085	6
74429	455	8
17856	30563	3
38790	135	5
70968	20234	8
45859	26542	1
60603	135	5
56317	3533	6
31079	61327	0
13025	27036	6
62701	33786	6
50466	33242	6
60224	135	5
51516	135	5
34836	61467	0
18543	14961	3
29388	4505	1
15147	43648	6
17104	19	5
50056	135	5
56696	49152	1
17845	135	5
21791	26169	6
55493	63017	6
3676	19	5
4296	18711	6
13614	29675	6
74128	187	3
55141	66180	3
39035	36552	8
44607	21351	3
23236	135	5
44509	1488	1
9154	22119	1
27692	2466	8
69724	24454	6
65346	135	5
30690	26231	1
2408	51299	3
62322	37363	3
58801	19	5
47428	135	5
9822	13106	3
44920	32543	3
36809	135	5
60899	34507	3
55440	135	5
5641	10417	1
74027	40898	3
33856	135	5
4420	135	5
13397	19	5
67101	13706	6
73794	3840	8
2943	135	5
65942	42646	3
37331	135	5
69299	57648	3
45477	42871	3
22095	135	5
60189	62276	6
63126	63529	0
58027	16982	3
12621	5346	0
45108	17960	0
38491	24939	3
28094	13146	6
50960	135	5
11542	27286	3
45496	135	5
31493	7721	6
18324	38676	3
35694	31528	6
25318	72018	3
45245	1922	6
26662	17828	3
20327	135	5
50543	1370	0
71387	17230	3
37949	8475	3
40814	135	5
48872	18083	6
9952	577	3
26585	135	5
53281	135	5
37084	966	6
14739	56451	3
1159	954	6
24965	39808	3
27223	11182	6
19630	65855	8
34950	11182	6
28	25986	8
47962	2872	6
5861	585	3
30364	3439	3
14530	42788	8
52677	26258	8
61968	71076	6
21092	34611	8
10985	540	3
26769	135	5
31153	2388	6
46547	60957	3
13831	70990	6
49951	135	5
8186	19	5
14431	19299	6
39401	135	5
66518	3596	1
53163	7814	1
52081	41004	0
66585	1085	6
20181	817	0
56384	11337	8
56155	135	5
186	62332	3
36941	19	5
23357	1750	6
40318	135	5
44505	68822	6
66199	587	6
73458	135	5
56868	6631	12
51322	18711	6
3129	3897	6
50696	135	5
8558	20024	1
62909	52937	6
59260	2427	3
17193	36698	6
16306	135	5
685	17953	12
14728	1199	6
34620	604	0
67421	2872	6
36893	32543	3
13556	3169	6
15076	135	5
22155	55067	0
46743	6400	8
6773	135	5
32781	19	5
24121	48084	0
29207	19445	6
20858	7667	8
40903	17526	3
54262	135	5
9773	72913	3
35103	13002	1
32639	173	6
63868	24889	12
64247	135	5
62489	8888	3
38901	27766	12
38790	48120	1
5612	55121	6
